CID,TABCD,LCD,CLASS,TCD,STCD,JUNCTIONNUMBER,RNID,N1ID,N2ID,POL_LCD,OTH_LCD,SEG_LCD,ROA_LCD,INPOS,INNEG,OUTPOS,OUTNEG,PRESENTPOS,PRESENTNEG,DIVERSIONPOS,DIVERSIONNEG,XCOORD,YCOORD,INTERRUPTSROAD,URBAN,JNID
25,1,1752,P,1,3,,45763,69189,,91,,,158,1,1,1,1,1,1,,,1513646,3761961,,0,
25,1,3570,P,1,11,,39193,72603,,41881,,,285,1,1,1,1,1,1,,,1257753,4180886,,0,
25,1,18930,P,1,11,,,55541,,79,,,18924,1,1,1,1,1,1,,,1757873,4053389,,0,
25,1,6721,P,1,11,,72345,21701,,1109,,,441,1,1,1,1,1,1,,,1523114,4074047,,0,
25,1,30938,P,1,11,,14339,27009,,27,,,30935,1,1,1,1,1,1,,,987365,4478905,,0,
25,1,35140,P,1,11,,19953,34859,,67,,,35136,1,1,1,1,1,1,,,1377729,4282527,,0,
25,1,25622,P,1,11,,62929,68165,,62,,,25620,1,1,1,1,1,1,,,1335652,4333684,,0,
25,1,37054,P,1,11,,16309,60473,,121,,,37052,1,1,1,1,1,1,,,1230041,4570100,,0,
25,1,13073,P,1,11,,48663,42413,,74,,,1096,1,1,1,1,1,1,,,813963,4437499,,0,
25,1,8561,P,1,11,,52305,21911,,87,,,596,1,1,1,1,1,1,,,927948,4080216,,0,
25,1,33081,P,1,11,,9339,71157,,41864,,,33076,1,1,1,1,1,1,,,1250666,4191290,,0,
25,1,6389,P,1,11,,50473,28677,,62,,,421,1,1,1,1,1,1,,,1339858,4321757,,0,
25,1,6658,P,1,11,,36847,76607,,80,,,436,1,1,1,1,1,1,,,1604381,4170661,,0,
25,1,19617,P,1,11,,,48051,,18,,,19615,1,1,1,1,1,1,,,1403497,4115190,,0,
25,1,16626,P,1,11,,,16499,,1109,,,16624,1,1,1,1,1,1,,,1478817,4104703,,0,
25,1,1743,P,1,3,,45763,3985,,93,,,158,1,1,1,1,1,1,,,1551949,3813851,,0,
25,1,28515,P,1,11,,,37695,,119,,,28512,1,1,1,1,1,1,,,1179964,4514863,,0,
25,1,6293,P,1,11,,66463,49899,,113,,,416,1,1,1,1,1,1,,,1221363,4314475,,0,
25,1,25492,P,1,11,,58155,12821,,103,,,25488,1,1,1,1,1,1,,,1046980,4418122,,0,
25,1,44939,P,1,11,,,72539,,111,,,44934,1,1,1,1,1,1,,,1105769,4603897,,0,
25,1,25650,P,1,11,,3473,3377,,62,,,25646,1,1,1,1,1,1,,,1341810,4329088,,0,
25,1,39255,P,1,11,,73339,57577,,123,,,39252,1,1,1,1,1,1,,,1091043,4553419,,0,
25,1,25670,P,1,11,,52839,33075,,62,,,25668,1,1,1,1,1,1,,,1316544,4305469,,0,
25,1,38889,P,1,11,,18485,1781,,123,,,38887,1,1,1,1,1,1,,,1102480,4532046,,0,
25,1,27552,P,1,11,,38193,67741,,41865,,,27549,1,1,1,1,1,1,,,1417985,4084907,,0,
25,1,33274,P,1,11,,12531,16891,,41864,,,33271,1,1,1,1,1,1,,,1247088,4194084,,0,
25,1,30545,P,1,11,,,11063,,63,,,30543,1,1,1,1,1,1,,,1250133,4386935,,0,
25,1,28735,P,1,11,,60329,36593,,41887,,,28731,1,1,1,1,1,1,,,1417923,3801410,,0,
25,1,18962,P,1,11,,,30131,,41886,,,18960,1,1,1,1,1,1,,,916491,3956555,,0,
25,1,27664,P,1,11,,,76809,,75,,,27661,1,1,1,1,1,1,,,841002,4556725,,0,
25,1,10463,P,1,11,,27067,39753,,55,,,772,1,1,1,1,1,1,,,1047936,4494254,,0,
25,1,23935,P,1,11,,,58431,,101,,,23930,1,1,1,1,1,1,,,1176124,4272498,,0,
25,1,36005,P,1,11,,40877,6759,,41878,,,35998,1,1,1,1,1,1,,,789378,4537865,,0,
25,1,20103,P,1,11,,,21187,,41880,,,20097,1,1,1,1,1,1,,,1424908,4242128,,0,
25,1,21352,P,1,11,,,64765,,74,,,21350,1,1,1,1,1,1,,,779282,4457808,,0,
25,1,45358,P,1,11,,57755,44185,,41879,,,45349,1,1,1,1,1,1,,,1639551,4116238,,0,
25,1,7385,P,1,11,,42985,16423,,89,,,486,1,1,1,1,1,1,,,1321952,3749178,,0,
25,1,10542,P,1,11,,17379,7225,,41882,,,780,1,1,1,1,1,1,,,1452329,4067446,,0,
25,1,6076,P,1,11,,45777,54597,,28,,,403,1,1,1,1,1,1,,,1188491,4411875,,0,
25,1,1614,P,1,3,,70907,20847,,119,,,150,1,1,1,1,1,1,,,1177456,4523971,,0,
25,1,39676,P,1,11,,,39585,,124,,,39673,1,1,1,1,1,1,,,1139314,4565365,,0,
25,1,14371,P,1,3,,35533,39491,,41887,,,160,1,1,1,1,1,1,,,1396990,3802507,,0,
25,1,15042,P,1,11,,,60841,,72,,,15039,1,1,1,1,1,1,,,845545,4502647,,0,
25,1,36577,P,1,11,,,33281,,111,,,36564,1,1,1,1,1,1,,,1131303,4622623,,0,
25,1,30050,P,1,11,,9211,27611,,113,,,30045,1,1,1,1,1,1,,,1236420,4307623,,0,
25,1,15980,P,1,11,,59015,40183,,41890,,,15976,1,1,1,1,1,1,,,1368726,4281820,,0,
25,1,41903,P,1,3,,27657,17873,,41888,,,41901,0,0,1,0,1,0,,,1116623,4384378,,0,
25,1,14410,P,1,11,,15157,45869,,14391,,,516,1,1,1,1,1,1,,,954595,4084549,,0,
25,1,34104,P,1,11,,,59185,,87,,,34101,1,1,1,1,1,1,,,879635,4059729,,0,
25,1,28722,P,1,11,,,63853,,41887,,,28719,1,1,1,1,1,1,,,1402165,3800990,,0,
25,1,42113,P,1,11,,34309,61119,,82,,,283,1,1,1,1,1,1,,,1718472,4051585,,0,
25,1,30699,P,1,11,,,59641,,6,,,30698,1,1,1,1,1,1,,,1411989,4246004,,0,
25,1,22867,P,1,11,,,11523,,24,,,22866,1,1,1,1,1,1,,,1229555,4403856,,0,
25,1,12626,P,1,11,,8729,51347,,79,,,1032,1,1,1,1,1,1,,,1758918,4052574,,0,
25,1,25972,P,1,11,,65681,1887,,55,,,25970,1,1,1,1,1,1,,,1044060,4516291,,0,
25,1,32260,P,1,11,,28509,17991,,29,,,32254,1,1,1,1,1,1,,,1046429,4446122,,0,
25,1,16943,P,1,11,,75105,67803,,41870,,,16941,1,1,1,1,1,1,,,1691246,4110757,,0,
25,1,13102,P,1,11,,21869,72761,,104,,,1100,1,1,1,1,1,1,,,996976,4422331,,0,
25,1,10316,P,1,11,,46151,63465,,118,,,759,1,1,1,1,1,1,,,1189075,4636256,,0,
25,1,32704,P,1,11,,71339,40157,,41881,,,32697,1,1,1,1,1,1,,,1260509,4220333,,0,
25,1,35670,P,1,11,,13281,40021,,41878,,,35669,1,1,1,1,1,1,,,748082,4484441,,0,
25,1,17338,P,1,11,,,34223,,17,,,17336,1,1,1,1,1,1,,,1487937,4141132,,0,
25,1,4130,P,1,11,,63659,73393,,41891,,,301,1,1,1,1,1,1,,,1322401,4612946,,0,
25,1,4542,P,1,11,,36895,10285,,4,,,315,1,1,1,1,1,1,,,1347115,4235950,,0,
